/project/p_gnn001/code/gnn_clean_code/simple_code_mlp2.py:50: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  data = [torch.tensor(d, dtype=torch.float32) for d in data]
GenAggModel
Epoch 891/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 901/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 911/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 921/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 931/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 941/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 951/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 961/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 971/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 981/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 991/1000, Train Loss: 0.0169, Val Loss: 0.0172
train_loss :  0.016879470109939575
Test Loss: 0.0006
GenAggModel
Epoch 1/1000, Train Loss: 49.2700, Val Loss: 46.8392
Epoch 11/1000, Train Loss: 0.0397, Val Loss: 0.1012
Epoch 21/1000, Train Loss: 0.0055, Val Loss: 0.0042
Epoch 31/1000, Train Loss: 0.0030, Val Loss: 0.0030
Epoch 41/1000, Train Loss: 0.0028, Val Loss: 0.0032
Epoch 51/1000, Train Loss: 0.0027, Val Loss: 0.0028
Epoch 61/1000, Train Loss: 0.0027, Val Loss: 0.0027
Epoch 71/1000, Train Loss: 0.0027, Val Loss: 0.0027
Epoch 81/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 91/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 101/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 111/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 121/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 131/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 141/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 151/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 161/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 171/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 181/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 191/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 201/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 211/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 221/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 231/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 241/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 251/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 261/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 271/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 281/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 291/1000, Train Loss: 0.0026, Val Loss: 0.0026
Epoch 301/1000, Train Loss: 0.0026, Val Loss: 0.0026
